State,year,adult_pop,ins_employer,ins_direct,ins_medicare,ins_medicaid,uninsured,expand_ever,expand_year,expand
Washington,2014,4382463.0,2512470.0,368067.0,46196.0,447605.0,560535.0,True,2014.0,True
West Virginia,2014,1118678.0,596709.0,45112.0,26854.0,182005.0,144429.0,True,2014.0,True
Wisconsin,2014,3540472.0,2258898.0,279276.0,33656.0,326060.0,357262.0,False,,False
Wyoming,2014,359462.0,215860.0,32452.0,2399.0,14199.0,59981.0,False,,False
Alabama,2015,2931080.0,1588401.0,251217.0,68427.0,221829.0,448318.0,,2014.0,True
Alaska,2015,457079.0,230786.0,29699.0,1532.0,36934.0,85567.0,True,2014.0,True
Arizona,2015,3992074.0,2023961.0,360611.0,52446.0,602255.0,581692.0,True,2014.0,True
Arkansas,2015,1759383.0,885346.0,166277.0,43004.0,218125.0,239884.0,True,2014.0,True
California,2015,24451851.0,12778221.0,2427618.0,227484.0,4334047.0,2952902.0,True,2014.0,True
Colorado,2015,3416438.0,1933299.0,369598.0,29775.0,401818.0,375168.0,True,2014.0,True
Connecticut,2015,2232650.0,1392377.0,196090.0,19773.0,300233.0,181812.0,True,2014.0,True
Delaware,2015,570682.0,346769.0,41570.0,8550.0,76185.0,46357.0,True,2014.0,True
Florida,2015,11988187.0,5732967.0,1657227.0,175258.0,1008569.0,2325241.0,False,,False
Georgia,2015,6254418.0,3385116.0,583232.0,86993.0,382658.0,1210998.0,False,,False
Hawaii,2015,831201.0,518317.0,51938.0,6261.0,91561.0,48071.0,True,2014.0,True
Idaho,2015,961905.0,509559.0,135762.0,8621.0,56152.0,155134.0,True,2014.0,True
Illinois,2015,7958577.0,4832760.0,711522.0,86531.0,1006754.0,810187.0,True,2014.0,True
Indiana,2015,4015170.0,2467898.0,313840.0,62255.0,333518.0,517333.0,True,2014.0,True
Iowa,2015,1876389.0,1195987.0,185019.0,14367.0,182110.0,128392.0,True,2014.0,True
Kansas,2015,1724059.0,1054202.0,181785.0,18447.0,74104.0,222500.0,False,,False
Kentucky,2015,2682955.0,1447315.0,179169.0,68442.0,475049.0,216282.0,True,2014.0,True
Louisiana,2015,2820771.0,1478473.0,255088.0,51218.0,256405.0,503139.0,True,2014.0,True
Maine,2015,816194.0,457758.0,80659.0,10989.0,80892.0,95706.0,True,2014.0,True
Maryland,2015,3738785.0,2323287.0,298944.0,38874.0,397583.0,327978.0,True,2014.0,True
Massachusetts,2015,4328437.0,2713315.0,313363.0,31787.0,733387.0,169825.0,True,2014.0,True
Michigan,2015,6073123.0,3578699.0,481650.0,73789.0,859533.0,523682.0,True,2014.0,True
Minnesota,2015,3376832.0,2159915.0,323327.0,28234.0,412439.0,203390.0,True,2014.0,True
Mississippi,2015,1773478.0,873978.0,147122.0,35631.0,170743.0,340728.0,False,,False
Missouri,2015,3667679.0,2205535.0,343541.0,63305.0,219330.0,498533.0,True,2014.0,True
Montana,2015,618119.0,324220.0,87018.0,7844.0,34670.0,100941.0,True,2014.0,True
Nebraska,2015,1130499.0,703735.0,135475.0,9723.0,44510.0,127951.0,True,2014.0,True
Nevada,2015,1770634.0,958922.0,144393.0,27317.0,195206.0,290465.0,True,2014.0,True
New Hampshire,2015,840967.0,563254.0,66728.0,13641.0,56148.0,75596.0,True,2014.0,True
